country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,7.95,,,8.37,,,7.44,7.4,,,,,,6.53,,,10.4,7.8,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,3.33,,10.1,,,14,,,16.8
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,28.5,35.1,,,,,,,,,,,,,,,,,,26.1,,,,,2.82,10.9,7.71,,,9.1,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,,,,,,32.9,,,,,,,,,,,,,,,,,6.68,9.5,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.5,28.3,24.2,19.9,14.8,13.6,16.6,20.9,21.4,19.3,19.9,19.1,18.2,17.5,17.2,16.8,16.4,13.7,15.6,15.8,13.8,11.5,13.4,15.5,17.1,14.5,12.5,11.9,11.3,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,16.1,31.4,,,,,,18,16.3,15,17,18.1,18.4,19.1,,16.2,,17.1,17.1,17,19.1,17.7,14.5,12.4,11.2,,11,,15.4,,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,,,,,,,,,,2.05,,,,,,,,,,2.35,,,,,2.71,,,,,7.06,,,,,,,,,,,4.02,6.81,,5.1,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.8,4.19,,,6.6,7.2,7.8,6.93,5.85,6.73,12.7,14.1,22.3,19.3,17.8,14.1,15.2,16.4,17.2,18.8,17.5,15.7,13.5,12.3,,9.68,9.83,9.17,8.49,8.79,8.46,8.36,,,9.45,10.5,10.7,12.4
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,7.4,8.5,10.4,15.2,17.4,13.3,15,,,,,,,,9.77,25.9,19.7,21.2,19.6,18.1,18.1,19.4,19.2,17.5,17.5,20.4,19.3,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,,6.01,,,,,,,,,,,,,,,,,,,,
