country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,,,,,,,,,,,,,,,,1.67,,,7.12,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,4.27,,5.62,,,7.08,,,7.01
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,3.75,,,,1.99,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,7.98,9.59,9.99,9.36,5.64,6.81,8.66,8.98,8.39,7.22,7.96,7.36,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,13,12.7,,,,,,,,,11.8,10.5,12.5,8.52,,12,,,,11.7,12.8,13.5,6.68,7.22,7.72,,7.18,,,,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,2.26,1.32,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,8.04,7.21,,4.72,4.83,4.17,3.49,4.24,2.96,3.16,,,4.16,4.11,4.94,8.09
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,16.4,10.3,14.5,16.2,11.7,11,11.6,9.54,10.7,9.2,13.5,14.8,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.68,2.16,2.84,3.25,3.3,3.5,3.55,3.22,3.31,3.15,2.9,3.85,3.87,4.78,5.58,4.1,4.72,4.43,4.46,3.5,3.15,2.97,2.95,3.02,3.04,2.88,2.77,2.62,2.01,2.87,2.63,2.89,3.11,3.18,3.8,3.55,3.6,3.72,3.89,3.81,4.78
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,1.23,2.57,1.94,2.34,2.75,2.62,1.43,3.33,2.75,4.6,5.08,2.71,2.89,3.47,3.28,5.73,3.43,5.86,5.16,3.83,3.86,4.71,2.98,2.51,3.53,2.75,2.5,1.92,2.48,2.72,3.22,2.84,3.39,3.76,3.7,3.78,2.89,3.61
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,3.63,2.95,3.72,2.05,1.63,2.07,1.47,0.49,1.43,1.34,2.71,4.18,2.3,2.12,2,2.4,2.62,3.03,3.38,3.71,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,6.46,6.37,7.72,6.06,6.89,5.45,5,3.96,4.15,3.67,5.93,4.4,4,4.3,5.41,8.11,2.85,,3.83,1.34,2.83,5.48,5.66,5.33,5.56,5.24,5.24,4.24,5.07,5.3,5.13,4.73,6.03,6.55,3.73,3.91,3.62
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,0.08,0.82,,,,,,,,,
