country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,,,5.36,,,6.72,,,6.5,6.5,,,,,,4.97,,,10.8,8.6,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,1.36,,7.2,,,10.4,,,10.4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.5,14.8,,,,,,,,,,,,,,,,,,21.3,,,,,4.67,7.91,7,,,9.96,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,,,,,21.6,,,,,,,,,,,,,,,,,6.46,6.35,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7.8,24.8,20.9,17.3,11.6,11.4,13.8,15.8,16.4,14.9,14.2,13.6,12.9,12.4,12.1,11.8,15.7,12.5,12.1,12.7,13.3,14.8,17.8,19.9,17.3,16.1,14.4,12.6,11.6,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,10.9,17.1,,,,,,10.6,11.4,11,9.86,10.4,12.4,13.7,,12,,14.1,13.1,15.1,17.1,11.3,10.2,8.05,7.84,,8.39,,10.5,,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,1.05,,,,,,,,,,1.72,,,,,2.18,,,,,2.5,,,,,,,,,,,1.07,1.41,,1.28,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,3.86,3.38,,,4.5,5.3,7,7.13,5.33,6.14,8.5,10.3,16.5,15.7,12.9,11.7,13.3,14.1,17.4,20.1,13.7,11.8,10,8.36,,6.47,7.76,6.65,6.24,6.06,6.1,6.47,,,7.51,8.2,9.18,10.8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,3.5,4.9,3.8,4.7,5.5,5.6,7.6,,,,,,,,9.85,20.5,17.3,17,17.3,16.5,14.4,15.7,17.4,17.7,17.9,17.9,17.5,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34,,,,,,,,,,4.88,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,14.8,14.4,17,,,,,,,,,,,,,,,,,,,,,,,,,8.04,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,5.07,4.81,6.35,9.72,8.69,7.94,7.67,7.76,6.77,5.71,6.74,9.89,11.3,11.5,9.98,8.74,8.71,8.58,7.94,7.04,6.46,6.98,6.53,5.89,5.28,4.88,4.67,4.04,3.96,5.69,5.07,4.89,5.14,5.71,6,6.04,5.65,5.52,5.28,5.21,6.55
